farm_id,AddressKey,B_STRAATNAAM,B_HUIS_NR,B_HUIS_NR_TOEV,B_POSTCODE,B_PLAATS,COMPANY_NAME,company_id,doc_id_latest,Titel_latest,Datum_latest,Instantie_latest,stage_latest_llm,stage_latest_manual,URL_BEKENDMAKING,URL_PDF,doc_ids_all,AddressKeyAll
FARM0019,horsterweg|11||5809 er|leunen,Horsterweg,11,,5809 ER,Leunen,,,doc_00023,"Aanvraag Omgevingsvergunning Natura 2000 activiteit wijzigen van de natuurvergunning in het kader van de Lbv/Lbv+ regeling, Horsterweg 11, 5809 ER Leunen",2025-11-13,Limburg,receipt_of_application,,https://zoek.officielebekendmakingen.nl/prb-2025-18843.html,https://repository.overheid.nl/frbr/officielepublicaties/prb/2025/prb-2025-18843/1/pdf/prb-2025-18843.pdf,doc_00023,horsterweg|11||5809 er|leunen
FARM0020,mosstraat|35||5121 zj|rijen,Mosstraat,35,,5121 ZJ,Rijen,Maatschap MEFC van Beek en IMCA van Beek-Rijvers,,doc_00024,"Provincie Noord-Brabant – ontwerpbesluit aanvraag omgevingsvergunning - Maatschap MEFC van Beek en IMCA van Beek-Rijvers, Mosstraat 35, 5121 ZJ te Rijen",2025-11-12,Noord-Brabant,draft_decision,,https://zoek.officielebekendmakingen.nl/prb-2025-18724.html,https://repository.overheid.nl/frbr/officielepublicaties/prb/2025/prb-2025-18724/1/pdf/prb-2025-18724.pdf,doc_00024,mosstraat|35||5121 zj|rijen
FARM0021,gezandebaan|32||5725 tn|heusden,Gezandebaan,32,,5725 TN,Heusden,Gezandebaan BV,,doc_00025,"Provincie Noord-Brabant – ontwerpbesluit aanvraag omgevingsvergunning - Gezandebaan BV, Gezandebaan 32, 5725 TN te Heusden",2025-11-12,Noord-Brabant,draft_decision,,https://zoek.officielebekendmakingen.nl/prb-2025-18725.html,https://repository.overheid.nl/frbr/officielepublicaties/prb/2025/prb-2025-18725/1/pdf/prb-2025-18725.pdf,doc_00025,gezandebaan|32||5725 tn|heusden
FARM0022,beliënberkdijk|26||5712 se|someren,Beliënberkdijk,26,,5712 SE,Someren,Maatschap A. de Wit en P.A.C.M. de Wit-Nooijen,,doc_00026,"Provincie Noord-Brabant – herzien ontwerpbesluit aanvraag omgevingsvergunning - Maatschap A. de Wit en P.A.C.M. de Wit-Nooijen, Beliënberkdijk 26, 5712 SE te Someren",2025-11-12,Noord-Brabant,draft_decision,,https://zoek.officielebekendmakingen.nl/prb-2025-18727.html,https://repository.overheid.nl/frbr/officielepublicaties/prb/2025/prb-2025-18727/1/pdf/prb-2025-18727.pdf,doc_00026,beliënberkdijk|26||5712 se|someren
FARM0023,oldenzaalsedijk|14||7562 pd|deurningen,Oldenzaalsedijk,14,,7562 PD,Deurningen,,,doc_00027,Aanvraag voor een vergunning ivm deelname Lbv voor de locatie Oldenzaalsedijk 14 te Deurningen,2025-11-12,Overijssel,receipt_of_application,,https://zoek.officielebekendmakingen.nl/prb-2025-18715.html,https://repository.overheid.nl/frbr/officielepublicaties/prb/2025/prb-2025-18715/1/pdf/prb-2025-18715.pdf,doc_00027,oldenzaalsedijk|14||7562 pd|deurningen
FARM0024,poelweg|5|a|6744 pj|ederveen,Poelweg,5,a,6744 PJ,Ederveen,,,doc_00028,"Provincie Gelderland – Omgevingswet Natura 2000-activiteit, locatie Poelweg 5a te Ederveen",2025-11-11,Gelderland,draft_decision,,https://zoek.officielebekendmakingen.nl/prb-2025-18626.html,https://repository.overheid.nl/frbr/officielepublicaties/prb/2025/prb-2025-18626/1/pdf/prb-2025-18626.pdf,"doc_00028,doc_00029",poelweg|5|a|6744 pj|ederveen
FARM0025,garderenseweg|301||3852 nh|ermelo,Garderenseweg,301,,3852 NH,Ermelo,,,doc_00031,"Provincie Gelderland Omgevingswet Natura 2000-activiteit, locatie Garderenseweg 301 te Ermelo",2025-11-11,Gelderland,definitive_decision,,https://zoek.officielebekendmakingen.nl/prb-2025-18625.html,https://repository.overheid.nl/frbr/officielepublicaties/prb/2025/prb-2025-18625/1/pdf/prb-2025-18625.pdf,"doc_00031,doc_00178",garderenseweg|301||3852 nh|ermelo
FARM0026,elburgerweg|36||8251 rj|dronten,Elburgerweg,36,,8251 RJ,Dronten,,,doc_00032,Besluit gedeeltelijk intrekken van de Wet natuurbescherming vergunning voor A.P. van Wees V.O.F. Elburgerweg 36 te Dronten,2025-11-11,Flevoland,definitive_decision,,https://zoek.officielebekendmakingen.nl/prb-2025-18646.html,https://repository.overheid.nl/frbr/officielepublicaties/prb/2025/prb-2025-18646/1/pdf/prb-2025-18646.pdf,doc_00032,elburgerweg|36||8251 rj|dronten
FARM0027,ysselsteynseweg|78||5813 bm|ysselsteyn,Ysselsteynseweg,78,,5813 BM,Ysselsteyn,,,doc_00033,"Aanvraag Omgevingsvergunning Natura 2000 activiteit wijzigen van de natuurvergunning in het kader van de Lbv/Lbv+ regeling, Ysselsteynseweg 78, 5813 BM Ysselsteyn",2025-11-11,Limburg,receipt_of_application,,https://zoek.officielebekendmakingen.nl/prb-2025-18597.html,https://repository.overheid.nl/frbr/officielepublicaties/prb/2025/prb-2025-18597/1/pdf/prb-2025-18597.pdf,doc_00033,ysselsteynseweg|78||5813 bm|ysselsteyn
FARM0028,ysselsteynseweg|42||5812 ah|heide,Ysselsteynseweg,42,,5812 AH,Heide,,,doc_00034,"Aanvraag Omgevingsvergunning Natura 2000 activiteit wijzigen van de natuurvergunning in het kader van de Lbv/Lbv+ regeling, Ysselsteynseweg 42, 5812 AH Heide",2025-11-11,Limburg,receipt_of_application,,https://zoek.officielebekendmakingen.nl/prb-2025-18592.html,https://repository.overheid.nl/frbr/officielepublicaties/prb/2025/prb-2025-18592/1/pdf/prb-2025-18592.pdf,doc_00034,ysselsteynseweg|42||5812 ah|heide
FARM0029,ysselsteynseweg|40||5812 ah|heide,Ysselsteynseweg,40,,5812 AH,Heide,,,doc_00035,"Aanvraag Omgevingsvergunning Natura 2000 activiteit wijzigen van de natuurvergunning in het kader van de Lbv/Lbv+ regeling, Ysselsteynseweg 40, 5812 AH Heide",2025-11-11,Limburg,receipt_of_application,,https://zoek.officielebekendmakingen.nl/prb-2025-18593.html,https://repository.overheid.nl/frbr/officielepublicaties/prb/2025/prb-2025-18593/1/pdf/prb-2025-18593.pdf,doc_00035,ysselsteynseweg|40||5812 ah|heide
FARM0030,ysselsteynseweg|25||5812 ah|heide,Ysselsteynseweg,25,,5812 AH,Heide,,,doc_00036,"Aanvraag Omgevingsvergunning Natura 2000 activiteit wijzigen van de natuurvergunning in het kader van de Lbv/Lbv+ regeling, Ysselsteynseweg 25, 5812 AH Heide",2025-11-11,Limburg,receipt_of_application,,https://zoek.officielebekendmakingen.nl/prb-2025-18595.html,https://repository.overheid.nl/frbr/officielepublicaties/prb/2025/prb-2025-18595/1/pdf/prb-2025-18595.pdf,doc_00036,ysselsteynseweg|25||5812 ah|heide
FARM0031,vliegertsdijk|18||5985 pd|grashoek,Vliegertsdijk,18,,5985 PD,Grashoek,,,doc_00037,"Aanvraag Omgevingsvergunning Natura 2000 activiteit wijzigen van de natuurvergunning in het kader van de Lbv/Lbv+ regeling, Vliegertsdijk 18, 5985 PD Grashoek",2025-11-11,Limburg,receipt_of_application,,https://zoek.officielebekendmakingen.nl/prb-2025-18577.html,https://repository.overheid.nl/frbr/officielepublicaties/prb/2025/prb-2025-18577/1/pdf/prb-2025-18577.pdf,doc_00037,vliegertsdijk|18||5985 pd|grashoek
FARM0032,steeg|21||5975 cd|sevenum,Steeg,21,,5975 CD,Sevenum,,,doc_00038,"Aanvraag Omgevingsvergunning Natura 2000 activiteit wijzigen van de natuurvergunning in het kader van de Lbv/Lbv+ regeling, Steeg 21, 5975 CD Sevenum",2025-11-11,Limburg,receipt_of_application,,https://zoek.officielebekendmakingen.nl/prb-2025-18585.html,https://repository.overheid.nl/frbr/officielepublicaties/prb/2025/prb-2025-18585/1/pdf/prb-2025-18585.pdf,doc_00038,steeg|21||5975 cd|sevenum
FARM0033,scheiweg|13|a|5809 eh|leunen,Scheiweg,13,A,5809 EH,Leunen,,,doc_00039,"Aanvraag Omgevingsvergunning Natura 2000 activiteit wijzigen van de natuurvergunning in het kader van de Lbv/Lbv+ regeling, Scheiweg 13A, 5809 EH Leunen",2025-11-11,Limburg,receipt_of_application,,https://zoek.officielebekendmakingen.nl/prb-2025-18633.html,https://repository.overheid.nl/frbr/officielepublicaties/prb/2025/prb-2025-18633/1/pdf/prb-2025-18633.pdf,doc_00039,scheiweg|13|a|5809 eh|leunen
FARM0034,laagheide|9||5971 pe|grubbenvorst,Laagheide,9,,5971 PE,Grubbenvorst,,,doc_00040,"Aanvraag Omgevingsvergunning Natura 2000 activiteit wijzigen van de natuurvergunning in het kader van de Lbv/Lbv+ regeling, Laagheide 9, 5971 PE Grubbenvorst",2025-11-11,Limburg,receipt_of_application,,https://zoek.officielebekendmakingen.nl/prb-2025-18598.html,https://repository.overheid.nl/frbr/officielepublicaties/prb/2025/prb-2025-18598/1/pdf/prb-2025-18598.pdf,doc_00040,laagheide|9||5971 pe|grubbenvorst
FARM0035,beekheuvel|4|a|5853 et|siebengewald,Beekheuvel,4,a,5853 ET,Siebengewald,,,doc_00041,"Aanvraag Omgevingsvergunning Natura 2000 activiteit wijzigen van de natuurvergunning in het kader van de Lbv/Lbv+ regeling, Beekheuvel 4a, 5853 ET Siebengewald",2025-11-11,Limburg,receipt_of_application,,https://zoek.officielebekendmakingen.nl/prb-2025-18582.html,https://repository.overheid.nl/frbr/officielepublicaties/prb/2025/prb-2025-18582/1/pdf/prb-2025-18582.pdf,doc_00041,beekheuvel|4|a|5853 et|siebengewald
FARM0036,rijksstraatweg|160||7395 md|teuge,Rijksstraatweg,160,,7395 MD,Teuge,,,doc_00042,"Provincie Gelderland – Omgevingswet Natura 2000-activiteit, locatie Rijksstraatweg 160 te Teuge",2025-11-10,Gelderland,draft_decision,,https://zoek.officielebekendmakingen.nl/prb-2025-18693.html,https://repository.overheid.nl/frbr/officielepublicaties/prb/2025/prb-2025-18693/1/pdf/prb-2025-18693.pdf,doc_00042,rijksstraatweg|160||7395 md|teuge
FARM0037,groenestraat|1||6274 ne|reijmerstok,Groenestraat,1,,6274 NE,Reijmerstok,,,doc_00043,"Aanvraag Omgevingsvergunning Natura 2000 activiteit wijzigen van de natuurvergunning in het kader van de Lbv/Lbv+ regeling, Groenestraat 1, 6274 NE Reijmerstok",2025-11-10,Limburg,receipt_of_application,,https://zoek.officielebekendmakingen.nl/prb-2025-18474.html,https://repository.overheid.nl/frbr/officielepublicaties/prb/2025/prb-2025-18474/1/pdf/prb-2025-18474.pdf,doc_00043,groenestraat|1||6274 ne|reijmerstok
FARM0038,rijksweg|2||6021 ra|budel,Rijksweg,2,,6021 RA,Budel,Van Lent Melkvee VOF,,doc_00044,"Provincie Noord-Brabant – ontwerpbeschikking aanvraag omgevingsvergunning - Van Lent Melkvee VOF, Rijksweg 2, 6021 RA te Budel",2025-11-07,Noord-Brabant,draft_decision,,https://zoek.officielebekendmakingen.nl/prb-2025-18445.html,https://repository.overheid.nl/frbr/officielepublicaties/prb/2025/prb-2025-18445/1/pdf/prb-2025-18445.pdf,doc_00044,rijksweg|2||6021 ra|budel
FARM0039,bleekerweg|20||5725 be|heusden,Bleekerweg,20,,5725 BE,Heusden,Bleekerheide BV,,doc_00045,"Provincie Noord-Brabant – ontwerpbeschikking aanvraag omgevingsvergunning - Bleekerheide BV, Bleekerweg 20, 5725 BE te Heusden",2025-11-07,Noord-Brabant,draft_decision,,https://zoek.officielebekendmakingen.nl/prb-2025-18447.html,https://repository.overheid.nl/frbr/officielepublicaties/prb/2025/prb-2025-18447/1/pdf/prb-2025-18447.pdf,doc_00045,bleekerweg|20||5725 be|heusden
FARM0040,sloefweg|22||8316 pl|marknesse,Sloefweg,22,,8316 PL,Marknesse,,,doc_00046,Kennisgeving ontvangst van een aanvraag voor een Omgevingsvergunning voor een Natura 2000-activiteit voor B241065 Natuur/milieu LBV Sloefweg 22,2025-11-07,Flevoland,receipt_of_application,,https://zoek.officielebekendmakingen.nl/prb-2025-18463.html,https://repository.overheid.nl/frbr/officielepublicaties/prb/2025/prb-2025-18463/1/pdf/prb-2025-18463.pdf,doc_00046,sloefweg|22||8316 pl|marknesse
FARM0041,bremerbergweg|22||8256 pw|biddinghuizen,Bremerbergweg,22,,8256 PW,Biddinghuizen,,,doc_00047,Kennisgeving ontvangst van een aanvraag Omgevingsvergunning Natura 2000 activiteit wijzigen van de natuurvergunning in het kader van de Lbv+ regeling,2025-11-07,Flevoland,receipt_of_application,,https://zoek.officielebekendmakingen.nl/prb-2025-18469.html,https://repository.overheid.nl/frbr/officielepublicaties/prb/2025/prb-2025-18469/1/pdf/prb-2025-18469.pdf,doc_00047,bremerbergweg|22||8256 pw|biddinghuizen
FARM0042,oude wezeveldseweg|17||7391 pa|twello,Oude Wezeveldseweg,17,,7391 PA,Twello,,,doc_00048,"Provincie Gelderland Omgevingswet Natura 2000-activiteit, locatie Oude Wezeveldseweg 17 te Twello",2025-11-06,Gelderland,draft_decision,,https://zoek.officielebekendmakingen.nl/prb-2025-18274.html,https://repository.overheid.nl/frbr/officielepublicaties/prb/2025/prb-2025-18274/1/pdf/prb-2025-18274.pdf,doc_00048,oude wezeveldseweg|17||7391 pa|twello
FARM0043,otterloseweg|54||6733 an|wekerom,Otterloseweg,54,,6733 AN,Wekerom,,,doc_00049,"Provincie Gelderland Omgevingswet Natura 2000-activiteit, locatie Otterloseweg 54 en 56 te Wekerom",2025-11-06,Gelderland,draft_decision,,https://zoek.officielebekendmakingen.nl/prb-2025-18282.html,https://repository.overheid.nl/frbr/officielepublicaties/prb/2025/prb-2025-18282/1/pdf/prb-2025-18282.pdf,doc_00049,"otterloseweg|54||6733 an|wekerom,otterloseweg|56||6733 an|wekerom"
FARM0043,otterloseweg|56||6733 an|wekerom,Otterloseweg,56,,6733 AN,Wekerom,,,doc_00049,"Provincie Gelderland Omgevingswet Natura 2000-activiteit, locatie Otterloseweg 54 en 56 te Wekerom",2025-11-06,Gelderland,draft_decision,,https://zoek.officielebekendmakingen.nl/prb-2025-18282.html,https://repository.overheid.nl/frbr/officielepublicaties/prb/2025/prb-2025-18282/1/pdf/prb-2025-18282.pdf,doc_00049,"otterloseweg|54||6733 an|wekerom,otterloseweg|56||6733 an|wekerom"
FARM0044,lankerenseweg|18||3781 nb|voorthuizen,Lankerenseweg,18,,3781 NB,Voorthuizen,,,doc_00050,"Provincie Gelderland Omgevingswet Natura 2000-activiteit, locatie Lankerenseweg 18 Voorthuizen",2025-11-06,Gelderland,draft_decision,,https://zoek.officielebekendmakingen.nl/prb-2025-18285.html,https://repository.overheid.nl/frbr/officielepublicaties/prb/2025/prb-2025-18285/1/pdf/prb-2025-18285.pdf,"doc_00050,doc_00051",lankerenseweg|18||3781 nb|voorthuizen
FARM0045,noord stegeren|2||7701 rt|dedemsvaart,Noord Stegeren,2,,7701 RT,Dedemsvaart,,,doc_00053,Ontwerpbesluit op een aanvraag voor intrekken vergunning t.b.v. LBV voor Noord Stegeren 2 te Dedemsvaart,2025-11-04,Overijssel,draft_decision,,https://zoek.officielebekendmakingen.nl/prb-2025-18143.html,https://repository.overheid.nl/frbr/officielepublicaties/prb/2025/prb-2025-18143/1/pdf/prb-2025-18143.pdf,doc_00053,noord stegeren|2||7701 rt|dedemsvaart
FARM0046,marledijk|33||8198 kp|marle,Marledijk,33,,8198 KP,Marle,,,doc_00055,"Ontwerpbesluit op een aanvraag voor het intrekken van een vergunning voor Gedeeltelijk intrekken NB vergunning Z-HZ-NB-2014-001655 tbv LBV regeling Marledijk 33, 8198KP Marle",2025-11-04,Overijssel,draft_decision,,https://zoek.officielebekendmakingen.nl/prb-2025-18183.html,https://repository.overheid.nl/frbr/officielepublicaties/prb/2025/prb-2025-18183/1/pdf/prb-2025-18183.pdf,"doc_00055,doc_00265",marledijk|33||8198 kp|marle
FARM0047,broekdijk|32||7664 ve|manderveen,Broekdijk,32,,7664 VE,Manderveen,,,doc_00056,Aanvraag voor het intrekken van een vergunning t.b.v. LBV voor locatie Broekdijk 32 te Manderveen,2025-11-04,Overijssel,receipt_of_application,,https://zoek.officielebekendmakingen.nl/prb-2025-18165.html,https://repository.overheid.nl/frbr/officielepublicaties/prb/2025/prb-2025-18165/1/pdf/prb-2025-18165.pdf,doc_00056,broekdijk|32||7664 ve|manderveen
